Year,Company,ESG_score,E_score,S_score,G_score,ROA
2015,Coal India Ltd,35.88,16.37,22.58,68.57,12.78
2016,Coal India Ltd,37.71,8.43,29.75,74.83,12.77
2017,Coal India Ltd,37.09,8.43,32.89,69.84,8.05
2018,Coal India Ltd,37.43,8.43,33.92,69.84,5.79
2019,Coal India Ltd,37.43,8.43,33.92,69.84,13.51
2020,Coal India Ltd,39.74,8.43,40.87,69.84,11.8
2021,Coal India Ltd,43.7,25.64,39.3,66.07,8.14
2022,Coal India Ltd,35.047,11.1022222222222,26.863,68.175,10.15
2015,Hindalco Industries Limited,48.6671,36.3334,24.6675,84.8585,0.6051
2016,Hindalco Industries Limited,44.6132,31.1688,17.6542,84.8585,-0.1759
2017,Hindalco Industries Limited,44.9552,31.1688,18.682,84.8585,1.3148
2018,Hindalco Industries Limited,44.9552,31.1688,18.682,84.8585,4.1265
2019,Hindalco Industries Limited,44.9552,31.1688,18.682,84.8585,3.6558
2020,Hindalco Industries Limited,42.3599,24.4035,17.6542,84.8585,2.337
2021,Hindalco Industries Limited,42.3599,24.4035,17.6542,84.8585,1.9389
2022,Hindalco Industries Limited,42.3599,24.4035,17.6542,84.8585,6.652
2015,NESTLE,37.3001,16.4603,19.1959,76.0987,9.4621
2016,NESTLE,40.7605,23.3162,20.2237,78.5972,15.5288
2017,NESTLE,38.5877,16.7925,20.2237,78.5972,17.289
2018,NESTLE,39.1611,18.514,20.2237,78.5972,20.8008
2019,NESTLE,41.525,25.6116,20.2237,78.5972,25.797
2020,NESTLE,40.7404,19.0879,24.3954,78.5972,27.6319
2021,NESTLE,40.7404,19.0879,24.3954,78.5972,26.6282
2022,NESTLE,39.8307428571429,19.96375,20.7476833333333,78.1807833333333,20.4482571428571
2015,State Bank of India (SBIN IN),33.2964,0.4228,26.844,72.4865,0.667
2016,State Bank of India (SBIN IN),26.4159,2.084,25.3023,51.776,0.4235
2017,State Bank of India (SBIN IN),30.2686,4.6512,34.3108,51.776,0.0074
2018,State Bank of India (SBIN IN),35.2882,4.6512,34.3108,66.7971,-0.129
2019,State Bank of India (SBIN IN),37.1693,12.3528,32.2551,66.7971,0.0613
2020,State Bank of India (SBIN IN),42.9232,27.0613,34.8247,66.7971,0.4889
2021,State Bank of India (SBIN IN),48.4358,27.0613,33.2527,84.8585,0.4955
2022,State Bank of India (SBIN IN),51.2122,34.3703,34.2805,84.8585,0.6932
2015,TCPL,37.1794,17.6382,17.6542,76.0987,2.5404
2016,TCPL,40.1066,20.4772,23.6094,76.0987,-0.0565
2017,TCPL,40.2877,21.0208,23.6094,76.0987,3.9688
2018,TCPL,42.7724,23.0142,26.5719,78.5972,4.9052
2019,TCPL,44.4724,28.1184,26.5719,78.5972,3.7917
2020,TCPL,46.6854,34.7629,26.5719,78.5972,3.1232
2021,TCPL,50.8198,47.1761,26.5719,78.5972,4.4207
2022,TCPL,56.2519,48.0217,35.7618,84.8585,4.5236
2015,Tata Motors Ltd,45.78,25.82,21.49,89.86,6.1
2016,Tata Motors Ltd,46.69,34.73,15.3,81.29,4.58
2017,Tata Motors Ltd,49.14,42.1,15.3,81.29,2.76
2018,Tata Motors Ltd,52.21,44.07,22.55,81.29,2.97
2019,Tata Motors Ltd,44.57,28.39,15.3,81.29,-9.03
2020,Tata Motors Ltd,48.39,34.4,20.74,81.29,-3.84
2021,Tata Motors Ltd,44.93,31.26,13.48,81.29,-4.04
2022,Tata Motors Ltd,45.45,31.26,15.05,81.29,-3.4
2015,Tata Steel Limited,40.3682,20.7792,15.2963,84.8585,-2.3735
2016,Tata Steel Limited,41.4345,20.7792,13.4825,89.8555,-0.2274
2017,Tata Steel Limited,41.6759,21.1114,13.8755,89.8555,-2.4175
2018,Tata Steel Limited,41.7865,21.4437,13.8755,89.8555,7.0241
2019,Tata Steel Limited,41.7865,21.4437,13.8755,89.8555,4.5989
2020,Tata Steel Limited,41.7865,21.4437,13.8755,89.8555,0.6432
2021,Tata Steel Limited,43.2049,25.7022,13.8755,89.8555,3.0208
2022,Tata Steel Limited,41.7204285714286,21.8147285714286,14.0223285714286,89.1416428571429,15.1258
2015,Titan,28.8,24.1866666666667,19.44,66.07,13.63
2016,Titan,39.85,20.69,32.68,66.07,11.05
2017,Titan,41.57,25.85,32.68,66.07,9.65
2018,Titan,44.7,25.85,29.53,78.6,12.6
2019,Titan,42.13,20.69,26.96,78.6,13.22
2020,Titan,43.85,25.85,26.96,78.6,11.89
2021,Titan,45.01,26.19,30.11,78.6,6.49
2022,Titan,42.8516666666667,24.1866666666667,28.3371428571429,71.837,11.54
