Rank,Company,Avg_E_score,Avg_S_score,Avg_G_score,Alpha_Weighted_ESG,ESG_Category
1,ITC Ltd,58.515,41.07,89.86,57.806000000000004,Top-tier Synergy Leaders
2,Tech Mahindra Ltd,60.242375,38.6071625,84.5461875,56.44905250000001,Top-tier Synergy Leaders
3,Mahindra & Mahindra Ltd.,54.788015625,39.673734375,81.80310625,54.14532125,Top-tier Synergy Leaders
4,Infosys Ltd,44.6390625,45.17835,88.451975,53.617360000000005,Top-tier Synergy Leaders
5,Indusind,43.99375,44.90875,85.4825,52.6575,Top-tier Synergy Leaders
6,L&T,44.742628571428575,38.3011,92.00567142857143,51.61862571428571,Top-tier Synergy Leaders
7,Wipro Ltd.,51.83,29.2775,89.86,50.415,Top-tier Synergy Leaders
8,ADANI,38.93125,36.79375,77.6575,45.8215,Middle-tier Standard Group
9,Hero MotoCorp Ltd.,44.50625,27.6875,81.93124999999999,45.26375,Middle-tier Standard Group
10,Bharti Airtel,25.7324125,43.988062500000005,86.5743375,45.2030575,Middle-tier Standard Group
11,NTPC,38.326875,27.789625,83.329125,43.112425,Middle-tier Standard Group
12,JSW Steel Ltd,34.94845714285714,31.93988571428571,81.2806142857143,43.01146,Middle-tier Standard Group
13,Cipla Ltd,25.537499999999998,37.0125,89.555,42.931000000000004,Middle-tier Standard Group
14,Oil & Natural Gas Corporation Limited,36.624112499999995,30.705875,67.98615000000001,40.529225000000004,Middle-tier Standard Group
15,TCPL,30.0286875,25.865299999999998,78.442925,38.04618,Bottom-tier Social Traps
16,Tata Motors Ltd,34.00375,17.40125,82.36125000000001,37.03425,Bottom-tier Social Traps
17,Hindalco Industries Limited,29.2773875,18.9162875,84.8585,36.24917000000001,Bottom-tier Social Traps
18,Titan,24.186666666666675,28.33714285714286,73.055875,35.620698809523816,Bottom-tier Social Traps
19,Tata Steel Limited,21.814728571428574,14.022328571428575,89.14164285714287,32.16315142857144,Bottom-tier Social Traps
20,NESTLE,19.85426875,21.20364791666666,78.23283541666666,32.06973375,Bottom-tier Social Traps
21,State Bank of India (SBIN IN),14.0818625,31.9226125,68.26835,32.05546,Bottom-tier Social Traps
22,Coal India Ltd,11.907777777777774,32.511625,69.625625,31.692886111111115,Bottom-tier Social Traps
