Year,Company,ESG_score,E_score,S_score,G_score,ROA
2015,ADANI,28.38,1.57,17.35,66.07,8.1549
2016,ADANI,34.11,17.76,18.38,66.07,8.197
2017,ADANI,42.99,29.9,26.63,72.34,9.5181
2018,ADANI,51.51,51.89,30.23,72.34,8.0774
2019,ADANI,59.32,50.17,42.84,84.86,7.6807
2020,ADANI,59.63,46.78,47.16,84.86,6.3389
2021,ADANI,62.05,52.22,48.97,84.86,7.2556
2022,ADANI,71.29,61.16,62.79,89.86,5.5513
2015,Bharti Airtel,43.1747,15.6146,32.6784,81.0957,2.74
2016,Bharti Airtel,47.1683,18.7557,35.2479,87.357,2.88
2017,Bharti Airtel,46.5949,17.0341,35.2479,87.357,1.66
2018,Bharti Airtel,51.7051,20.1752,47.4607,87.357,0.45
2019,Bharti Airtel,54.0589,25.672,49.0326,87.357,0.16
2020,Bharti Airtel,55.2862,29.3567,49.0326,87.357,-10.12
2021,Bharti Airtel,59.7022,40.0483,51.6022,87.357,-4.27
2022,Bharti Airtel,59.4206,39.2027,51.6022,87.357,1.2
2015,Cipla Ltd,31.41,1.75,7.41,84.86,8.11
2016,Cipla Ltd,31.41,1.75,7.41,84.86,7.38
2017,Cipla Ltd,37.8,2.08,20.01,91.12,4.77
2018,Cipla Ltd,52.54,31.8,34.55,91.12,6.43
2019,Cipla Ltd,62.46,39.41,56.74,91.12,6.53
2020,Cipla Ltd,62.46,39.41,56.74,91.12,6.49
2021,Cipla Ltd,64.29,44.91,56.74,91.12,9.85
2022,Cipla Ltd,63.64,43.19,56.5,91.12,9.63
2015,Hero MotoCorp Ltd.,39.98,16.79,24.4,78.6,22.76
2016,Hero MotoCorp Ltd.,39.12,16.79,21.83,78.6,26.68
2017,Hero MotoCorp Ltd.,48.89,40.2,27.75,78.6,25.41
2018,Hero MotoCorp Ltd.,57.05,56.6,29.56,84.86,22.75
2019,Hero MotoCorp Ltd.,58.56,61.13,29.56,84.86,19.19
2020,Hero MotoCorp Ltd.,58.82,61.13,30.35,84.86,19.06
2021,Hero MotoCorp Ltd.,61.07,64.51,33.74,84.86,13.64
2022,Hero MotoCorp Ltd.,47.85,38.9,24.31,80.21,10.17
2015,JSW Steel Ltd,53.5761,44.3975,31.3482,84.8585,2.6492
2016,JSW Steel Ltd,45.3978,32.6487,31.1064,72.3359,-0.3984
2017,JSW Steel Ltd,45.4984,32.9508,31.1064,72.3359,4.1314
2018,JSW Steel Ltd,51.1015,34.3703,33.948,84.8585,6.9003
2019,JSW Steel Ltd,50.5784,34.3703,32.3761,84.8585,7.3831
2020,JSW Steel Ltd,49.9749,34.3703,30.5623,84.8585,3.2667
2021,JSW Steel Ltd,49.8843,31.5313,33.1318,84.8585,5.6713
2022,JSW Steel Ltd,49.4302,34.9484571428571,31.9398857142857,81.2806142857143,12.0268
2015,NTPC,37.14,21.84,14.24,75.2,4.76
2016,NTPC,43.02,23.26,24.58,81.1,4.86
2017,NTPC,51.29,46.12,26.18,81.46,4.53
2018,NTPC,54.57,49.26,26.96,87.36,3.97
2019,NTPC,54.21,42.49,32.65,87.36,4.37
2020,NTPC,55.95,42.52,37.85,87.36,3.2
2021,NTPC,58.52,51.8,36.28,87.36,3.77
2022,NTPC,44.155,29.325,23.577,79.433,4.09
2015,Oil & Natural Gas Corporation Limited,43.5771,21.9873,39.3894,69.2655,5.5344
2016,Oil & Natural Gas Corporation Limited,39.2516,20.5678,27.8114,69.2655,3.7819
2017,Oil & Natural Gas Corporation Limited,50.0855,51.9178,28.9903,69.2655,6.1979
2018,Oil & Natural Gas Corporation Limited,50.9506,51.9178,31.5901,69.2655,4.8819
2019,Oil & Natural Gas Corporation Limited,47.7618,41.7699,31.5901,69.8374,6.4072
2020,Oil & Natural Gas Corporation Limited,44.2913,34.9441,27.9927,69.8374,2.1537
2021,Oil & Natural Gas Corporation Limited,40.9516,34.9441,24.2443,63.5762,3.0959
2022,Oil & Natural Gas Corporation Limited,44.2108,34.9441,34.0387,63.5762,8.0661
