Year,Company,ESG_score,E_score,S_score,G_score,ROA
2015,ITC Ltd,62.16,55.09,41.41,89.86,22.25
2016,ITC Ltd,62.68,55.09,42.99,89.86,19.13
2017,ITC Ltd,63.83,58.53,42.99,89.86,19.12
2018,ITC Ltd,63.83,58.53,42.99,89.86,18.75
2019,ITC Ltd,63.83,58.53,42.99,89.86,18.51
2020,ITC Ltd,62.02,58.53,37.55,89.86,20.52
2021,ITC Ltd,63.57,61.91,38.82,89.86,17.41
2022,ITC Ltd,63.1314285714286,61.91,38.82,89.86,20.18
2015,Indusind,50.42,44.79,27.75,78.6,1.829
2016,Indusind,48.42,32.11,31.92,81.1,1.8145
2017,Indusind,51.61,34.67,32.68,87.36,1.7838
2018,Indusind,50.96,32.71,32.68,87.36,1.8017
2019,Indusind,65.78,51.34,58.56,87.36,1.3217
2020,Indusind,66.9,54.73,58.56,87.36,1.5239
2021,Indusind,65.6,50.8,58.56,87.36,0.8744
2022,Indusind,65.6,50.8,58.56,87.36,1.2563
2015,Infosys Ltd,55.7791,46.421,33.4341,87.357,19.981
2016,Infosys Ltd,56.6341,46.421,36.0036,87.357,19.0361
2017,Infosys Ltd,58.0223,46.421,40.1753,87.357,18.0832
2018,Infosys Ltd,64.0579,49.2902,52.9323,89.8555,19.638
2019,Infosys Ltd,59.5212,40.6826,52.9323,84.8585,18.7137
2020,Infosys Ltd,56.3726,42.4041,41.7473,84.8585,18.6968
2021,Infosys Ltd,60.2656,42.7363,48.0955,89.8555,19.24
2022,Infosys Ltd,65.0236,42.7363,56.1064,96.1168,19.5429
2015,L&T,55.8998,46.0586,36.6687,84.8585,2.6255
2016,L&T,55.8998,46.0586,36.6687,84.8585,2.1789
2017,L&T,54.7732,42.6759,36.6687,84.8585,2.978
2018,L&T,60.4969,46.0586,36.6687,98.6153,3.2403
2019,L&T,59.2395,41.2564,37.6965,98.6153,3.4105
2020,L&T,60.8389,44.3975,41.8682,96.1168,3.2563
2021,L&T,61.6035,46.6928,41.8682,96.1168,3.74
2022,L&T,58.3930857142857,44.7426285714286,38.3011,92.0056714285714,3.06135714285714
2015,Mahindra & Mahindra Ltd.,55.3465,56.0254,37.6058,72.3359,3.4268
2016,Mahindra & Mahindra Ltd.,56.5537,56.0254,41.2334,72.3359,3.2213
2017,Mahindra & Mahindra Ltd.,57.42885,53.14105,40.46255,78.5972,3.4341
2018,Mahindra & Mahindra Ltd.,57.866425,51.698875,40.077125,81.72785,5.9617
2019,Mahindra & Mahindra Ltd.,58.304,50.2567,39.6917,84.8585,3.5365
2020,Mahindra & Mahindra Ltd.,58.304,50.2567,39.6917,84.8585,0.0769
2021,Mahindra & Mahindra Ltd.,59.9738,50.2567,39.6917,89.8555,1.0871
2022,Mahindra & Mahindra Ltd.,66.5124,70.6433,38.9359,89.8555,3.8625
2015,Tech Mahindra Ltd,54.23,56.3878,23.821,82.36,14.6855
2016,Tech Mahindra Ltd,55.7992,56.3878,28.5369,82.36,14.1265
2017,Tech Mahindra Ltd,54.5116,53.277,27.7811,82.36,11.5778
2018,Tech Mahindra Ltd,56.7951,54.9985,32.9202,82.36,13.4497
2019,Tech Mahindra Ltd,63.9573,58.6832,48.2467,84.8585,13.4544
2020,Tech Mahindra Ltd,67.9107,67.2908,49.0024,87.357,11.3926
2021,Tech Mahindra Ltd,68.2628,67.2908,50.0605,87.357,11.4966
2022,Tech Mahindra Ltd,67.8503,67.6231,48.4885,87.357,13.1666
2015,Wipro Ltd.,53.1,48.51,20.8,89.86,15.7
2016,Wipro Ltd.,55.96,55.27,22.61,89.86,13.46
2017,Wipro Ltd.,56.48,55.27,24.18,89.86,11.19
2018,Wipro Ltd.,58.18,57.02,27.54,89.86,10.31
2019,Wipro Ltd.,61.02,60.4,32.68,89.86,11.3
2020,Wipro Ltd.,56.38,44.91,34.25,89.86,11.78
2021,Wipro Ltd.,57.09,46.63,34.64,89.86,13.1
2022,Wipro Ltd.,58.04,46.63,37.52,89.86,12.79
